ticker,open_time,close_time,entry_time,floor_strike,expiration_value,result,actual,volume,tte_minutes,tte_at_entry_min,spot_at_entry,vol_at_entry,model_prob_yes,edge,distance_bps,near_money,filter_near_money,filter_low_edge,any_filter,would_trade
KXBTC15M-26JAN031900-00,2026-01-03 23:45:00+00:00,2026-01-04 00:00:00+00:00,2026-01-03 23:46:00+00:00,90619.8,,no,0,7804.0,15.0,14,90588.48,0.65,0.45829834291794325,-0.04170165708205675,-3.457393257951451,True,True,True,True,False
KXBTC15M-26JAN031915-15,2026-01-04 00:00:00+00:00,2026-01-04 00:15:00+00:00,2026-01-04 00:01:00+00:00,90598.16,,yes,1,1539.0,15.0,14,90618.0,0.65,0.5253533980722503,0.025353398072250344,2.1894104923962687,True,True,True,True,False
KXBTC15M-26JAN031930-30,2026-01-04 00:15:00+00:00,2026-01-04 00:30:00+00:00,2026-01-04 00:16:00+00:00,91330.22,,no,0,9749.0,15.0,14,91172.0,0.65,0.302041413057872,-0.19795858694212798,-17.354012196727194,True,True,False,True,False
KXBTC15M-26JAN031945-45,2026-01-04 00:30:00+00:00,2026-01-04 00:45:00+00:00,2026-01-04 00:31:00+00:00,91098.32,,yes,1,7262.0,15.0,14,91104.38,0.65,0.5072410200352654,0.007241020035265389,0.6651710927616951,True,True,True,True,False
KXBTC15M-26JAN032000-00,2026-01-04 00:45:00+00:00,2026-01-04 01:00:00+00:00,2026-01-04 00:46:00+00:00,91146.35,,yes,1,4566.0,15.0,14,91195.0,0.65,0.5625308177847789,0.06253081778477887,5.334722298370982,True,True,False,True,False
KXBTC15M-26JAN032015-15,2026-01-04 01:00:00+00:00,2026-01-04 01:15:00+00:00,2026-01-04 01:01:00+00:00,91295.0,,no,0,7805.0,15.0,14,91284.56,0.65,0.4857338884480682,-0.014266111551931804,-1.143676433342323,True,True,True,True,False
KXBTC15M-26JAN032030-30,2026-01-04 01:15:00+00:00,2026-01-04 01:30:00+00:00,2026-01-04 01:16:00+00:00,91256.28,,no,0,5972.0,15.0,14,91225.55,0.65,0.45934860689749524,-0.04065139310250476,-3.368573826082268,True,True,True,True,False
KXBTC15M-26JAN032045-45,2026-01-04 01:30:00+00:00,2026-01-04 01:45:00+00:00,2026-01-04 01:31:00+00:00,91099.37,,no,0,8295.0,15.0,14,91091.99,0.65,0.4896977126230463,-0.010302287376953712,-0.8101700270232437,True,True,True,True,False
KXBTC15M-26JAN032100-00,2026-01-04 01:45:00+00:00,2026-01-04 02:00:00+00:00,2026-01-04 01:46:00+00:00,91033.81,,yes,1,3799.0,15.0,14,91034.01,0.65,0.49959210895895606,-0.0004078910410439396,0.02196981106260063,True,True,True,True,False
KXBTC15M-26JAN032115-15,2026-01-04 02:00:00+00:00,2026-01-04 02:15:00+00:00,2026-01-04 02:01:00+00:00,91203.2,,no,0,7160.0,15.0,14,91248.0,0.3042850363370426,0.6224518666733714,0.12245186667337138,4.909696650885818,True,True,False,True,False
KXBTC15M-26JAN032130-30,2026-01-04 02:15:00+00:00,2026-01-04 02:30:00+00:00,2026-01-04 02:16:00+00:00,91088.92,,yes,1,6357.0,15.0,14,91158.91,0.3042850363370426,0.687332187611575,0.187332187611575,7.677801325180965,True,True,False,True,False
KXBTC15M-26JAN032145-45,2026-01-04 02:30:00+00:00,2026-01-04 02:45:00+00:00,2026-01-04 02:31:00+00:00,91168.72,,no,0,13817.0,15.0,14,91184.02,0.3042850363370426,0.5422362505633572,0.042236250563357225,1.6779255838910052,True,True,True,True,False
KXBTC15M-26JAN032200-00,2026-01-04 02:45:00+00:00,2026-01-04 03:00:00+00:00,2026-01-04 02:46:00+00:00,91124.19,,no,0,7965.0,15.0,14,91075.39,0.3042850363370426,0.3662175158511569,-0.13378248414884308,-5.358198301429498,True,True,False,True,False
KXBTC15M-26JAN032215-15,2026-01-04 03:00:00+00:00,2026-01-04 03:15:00+00:00,2026-01-04 03:01:00+00:00,91090.59,,yes,1,3970.0,15.0,14,91150.02,0.27803059830569227,0.6750177794760704,0.17501777947607045,6.520020511241529,True,True,False,True,False
KXBTC15M-26JAN032230-30,2026-01-04 03:15:00+00:00,2026-01-04 03:30:00+00:00,2026-01-04 03:16:00+00:00,91306.88,,no,0,4016.0,15.0,14,91231.01,0.27803059830569227,0.28094484724193913,-0.21905515275806087,-8.31625123957412,True,True,False,True,False
KXBTC15M-26JAN032245-45,2026-01-04 03:30:00+00:00,2026-01-04 03:45:00+00:00,2026-01-04 03:31:00+00:00,91126.96,,yes,1,9099.0,15.0,14,91096.01,0.27803059830569227,0.4061537158641753,-0.09384628413582469,-3.3975143367982463,True,True,False,True,False
KXBTC15M-26JAN032300-00,2026-01-04 03:45:00+00:00,2026-01-04 04:00:00+00:00,2026-01-04 03:46:00+00:00,91216.18,,no,0,9374.0,15.0,14,91286.01,0.27803059830569227,0.7028401750832498,0.2028401750832498,7.649583983350981,True,True,False,True,False
KXBTC15M-26JAN032315-15,2026-01-04 04:00:00+00:00,2026-01-04 04:15:00+00:00,2026-01-04 04:01:00+00:00,91198.66,,yes,1,13411.0,15.0,14,91209.02,0.2579530460106189,0.533733371856502,0.03373337185650205,1.1358525724759,True,True,True,True,False
KXBTC15M-26JAN032330-30,2026-01-04 04:15:00+00:00,2026-01-04 04:30:00+00:00,2026-01-04 04:16:00+00:00,91272.51,,yes,1,5720.0,15.0,14,91337.54,0.2579530460106189,0.7034399035355169,0.20343990353551689,7.119745068675908,True,True,False,True,False
KXBTC15M-26JAN032345-45,2026-01-04 04:30:00+00:00,2026-01-04 04:45:00+00:00,2026-01-04 04:31:00+00:00,91340.69,,yes,1,2200.0,15.0,14,91380.0,0.2579530460106189,0.6264751849573145,0.12647518495731447,4.301816590063217,True,True,False,True,False
KXBTC15M-26JAN040000-00,2026-01-04 04:45:00+00:00,2026-01-04 05:00:00+00:00,2026-01-04 04:46:00+00:00,91458.18,,no,0,5785.0,15.0,14,91430.18,0.2579530460106189,0.4087878706898818,-0.09121212931011818,-3.062446120088575,True,True,False,True,False
KXBTC15M-26JAN040015-15,2026-01-04 05:00:00+00:00,2026-01-04 05:15:00+00:00,2026-01-04 05:01:00+00:00,91360.29,,no,0,11308.0,15.0,14,91375.99,0.24167367000246653,0.5545405057790967,0.05454050577909675,1.718175638919112,True,True,False,True,False
KXBTC15M-26JAN040030-30,2026-01-04 05:15:00+00:00,2026-01-04 05:30:00+00:00,2026-01-04 05:16:00+00:00,91350.83,,yes,1,20835.0,15.0,14,91359.7,0.24167367000246653,0.5307758207088833,0.030775820708883295,0.970887601425502,True,True,True,True,False
KXBTC15M-26JAN040045-45,2026-01-04 05:30:00+00:00,2026-01-04 05:45:00+00:00,2026-01-04 05:31:00+00:00,91418.87,,no,0,18832.0,15.0,14,91392.01,0.24167367000246653,0.40663103948338347,-0.09336896051661653,-2.938987773657739,True,True,False,True,False
KXBTC15M-26JAN040100-00,2026-01-04 05:45:00+00:00,2026-01-04 06:00:00+00:00,2026-01-04 05:46:00+00:00,91360.11,,yes,1,10065.0,15.0,14,91390.03,0.24167367000246653,0.6033006771155887,0.10330067711558866,3.2738800939225268,True,True,False,True,False
KXBTC15M-26JAN040115-15,2026-01-04 06:00:00+00:00,2026-01-04 06:15:00+00:00,2026-01-04 06:01:00+00:00,91443.77,,yes,1,9069.0,15.0,14,91459.99,0.2565535560437266,0.5530173115497085,0.05301731154970846,1.7734530694789232,True,True,False,True,False
KXBTC15M-26JAN040130-30,2026-01-04 06:15:00+00:00,2026-01-04 06:30:00+00:00,2026-01-04 06:16:00+00:00,91639.5,,no,0,22250.0,15.0,14,91588.01,0.2565535560437266,0.33536991203592925,-0.16463008796407075,-5.621914920960204,True,True,False,True,False
KXBTC15M-26JAN040145-45,2026-01-04 06:30:00+00:00,2026-01-04 06:45:00+00:00,2026-01-04 06:31:00+00:00,91518.19,,no,0,3682.0,15.0,14,91502.87,0.2565535560437266,0.44943110523482577,-0.05056889476517423,-1.6742644247122507,True,True,False,True,False
KXBTC15M-26JAN040200-00,2026-01-04 06:45:00+00:00,2026-01-04 07:00:00+00:00,2026-01-04 06:46:00+00:00,91262.53,,no,0,4673.0,15.0,14,91332.01,0.2565535560437266,0.7170497467917613,0.21704974679176126,7.607409494217409,True,True,False,True,False
KXBTC15M-26JAN040215-15,2026-01-04 07:00:00+00:00,2026-01-04 07:15:00+00:00,2026-01-04 07:01:00+00:00,91220.66,,yes,1,4441.0,15.0,14,91275.97,0.25274575738712357,0.6786878530337603,0.17868785303376034,6.059645271367445,True,True,False,True,False
KXBTC15M-26JAN040230-30,2026-01-04 07:15:00+00:00,2026-01-04 07:30:00+00:00,2026-01-04 07:16:00+00:00,91294.91,,no,0,8901.0,15.0,14,91305.42,0.25274575738712357,0.5349015142232414,0.03490151422324139,1.1510817211064537,True,True,True,True,False
KXBTC15M-26JAN040245-45,2026-01-04 07:30:00+00:00,2026-01-04 07:45:00+00:00,2026-01-04 07:31:00+00:00,91267.63,,yes,1,6243.0,15.0,14,91324.0,0.25274575738712357,0.6817834905133578,0.18178349051335785,6.172528579562365,True,True,False,True,False
KXBTC15M-26JAN040300-00,2026-01-04 07:45:00+00:00,2026-01-04 08:00:00+00:00,2026-01-04 07:46:00+00:00,91448.03,,yes,1,12376.0,15.0,14,91470.89,0.25274575738712357,0.5757222586903401,0.0757222586903401,2.499155742335139,True,True,False,True,False
KXBTC15M-26JAN040315-15,2026-01-04 08:00:00+00:00,2026-01-04 08:15:00+00:00,2026-01-04 08:01:00+00:00,91488.48,,no,0,3146.0,15.0,14,91358.5,0.2526977941507713,0.1376828826189453,-0.3623171173810547,-14.227466519261581,True,True,False,True,False
KXBTC15M-26JAN040330-30,2026-01-04 08:15:00+00:00,2026-01-04 08:30:00+00:00,2026-01-04 08:16:00+00:00,91301.71,,no,0,5360.0,15.0,14,91316.01,0.2526977941507713,0.5475334288781897,0.047533428878189676,1.5659904544655816,True,True,True,True,False
KXBTC15M-26JAN040345-45,2026-01-04 08:30:00+00:00,2026-01-04 08:45:00+00:00,2026-01-04 08:31:00+00:00,91194.25,,yes,1,2444.0,15.0,14,91268.35,0.2526977941507713,0.7330720233990535,0.23307202339905353,8.118915264711788,True,True,False,True,False
KXBTC15M-26JAN040400-00,2026-01-04 08:45:00+00:00,2026-01-04 09:00:00+00:00,2026-01-04 08:46:00+00:00,91349.77,,no,0,3290.0,15.0,14,91357.99,0.2526977941507713,0.5272429969374927,0.02724299693749266,0.899757098421404,True,True,True,True,False
KXBTC15M-26JAN040415-15,2026-01-04 09:00:00+00:00,2026-01-04 09:15:00+00:00,2026-01-04 09:01:00+00:00,91338.4,,no,0,1903.0,15.0,14,91332.15,0.24195618264763602,0.4779008004512824,-0.022099199548717585,-0.6843154354737078,True,True,True,True,False
KXBTC15M-26JAN040430-30,2026-01-04 09:15:00+00:00,2026-01-04 09:30:00+00:00,2026-01-04 09:16:00+00:00,91269.79,,no,0,2025.0,15.0,14,91327.91,0.24195618264763602,0.6946802621967421,0.19468026219674206,6.363881534134515,True,True,False,True,False
KXBTC15M-26JAN040445-45,2026-01-04 09:30:00+00:00,2026-01-04 09:45:00+00:00,2026-01-04 09:31:00+00:00,91269.44,,yes,1,725.0,15.0,14,91320.6,0.24195618264763602,0.672970945992897,0.17297094599289697,5.602240896358926,True,True,False,True,False
KXBTC15M-26JAN040500-00,2026-01-04 09:45:00+00:00,2026-01-04 10:00:00+00:00,2026-01-04 09:46:00+00:00,91384.57,,yes,1,3159.0,15.0,14,91397.99,0.24195618264763602,0.5465568161250518,0.0465568161250518,1.46830362462,True,True,True,True,False
KXBTC15M-26JAN040515-15,2026-01-04 10:00:00+00:00,2026-01-04 10:15:00+00:00,2026-01-04 10:01:00+00:00,91419.97,,yes,1,1591.0,15.0,14,91465.21,0.2330757251398066,0.6593469500398095,0.15934695003980948,4.946142910512667,True,True,False,True,False
KXBTC15M-26JAN040530-30,2026-01-04 10:15:00+00:00,2026-01-04 10:30:00+00:00,2026-01-04 10:16:00+00:00,91515.93,,no,0,1509.0,15.0,14,91453.52,0.2330757251398066,0.28511327278791687,-0.21488672721208313,-6.824231587804268,True,True,False,True,False
KXBTC15M-26JAN040545-45,2026-01-04 10:30:00+00:00,2026-01-04 10:45:00+00:00,2026-01-04 10:31:00+00:00,91436.11,,yes,1,2282.0,15.0,14,91497.98,0.2330757251398066,0.7128454704721462,0.2128454704721462,6.761897912937023,True,True,False,True,False
