series,tte_window,dist_bps_max,min_edge,price_window,max_spread_cents,min_volume,side_mode,exit_mode,stop_loss_cents,take_profit_cents,time_exit_minutes_before_expiry,trade_count,win_rate,avg_win_cents,avg_loss_cents,total_pnl_cents,sharpe_like,max_consecutive_losses,avg_hold_minutes,yes_trade_count,no_trade_count
KXBTC15M,1-2,100.0,0.02,40-60,4,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.6205,0,12
KXBTC15M,1-2,100.0,0.02,40-60,8,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.6205,0,12
KXBTC15M,1-2,100.0,0.05,40-60,4,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.615,0,12
KXBTC15M,1-2,100.0,0.05,40-60,8,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.615,0,12
KXBTC15M,1-2,100.0,0.08,40-60,4,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.615,0,12
KXBTC15M,1-2,100.0,0.08,40-60,8,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.615,0,12
KXBTC15M,1-2,200.0,0.02,40-60,4,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.6205,0,12
KXBTC15M,1-2,200.0,0.02,40-60,8,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.6205,0,12
KXBTC15M,1-2,200.0,0.05,40-60,4,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.615,0,12
KXBTC15M,1-2,200.0,0.05,40-60,8,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.615,0,12
KXBTC15M,1-2,200.0,0.08,40-60,4,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.615,0,12
KXBTC15M,1-2,200.0,0.08,40-60,8,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.615,0,12
KXBTC15M,1-2,300.0,0.02,40-60,4,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.6205,0,12
KXBTC15M,1-2,300.0,0.02,40-60,8,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.6205,0,12
KXBTC15M,1-2,300.0,0.05,40-60,4,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.615,0,12
KXBTC15M,1-2,300.0,0.05,40-60,8,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.615,0,12
KXBTC15M,1-2,300.0,0.08,40-60,4,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.615,0,12
KXBTC15M,1-2,300.0,0.08,40-60,8,0,no_only,stop,10.0,,,12,75.0,52.1111,-30.3333,378.0,0.856766,2,1.615,0,12
KXBTC15M,1-2,100.0,0.05,30-70,4,0,no_only,fair_value,,,,20,85.0,40.7059,-41.3333,568.0,0.818461,2,1.4345,0,20
KXBTC15M,1-2,100.0,0.05,30-70,8,0,no_only,fair_value,,,,20,85.0,40.7059,-41.3333,568.0,0.818461,2,1.4345,0,20
KXBTC15M,1-2,100.0,0.08,30-70,4,0,no_only,fair_value,,,,20,85.0,40.7059,-41.3333,568.0,0.818461,2,1.4345,0,20
KXBTC15M,1-2,100.0,0.08,30-70,8,0,no_only,fair_value,,,,20,85.0,40.7059,-41.3333,568.0,0.818461,2,1.4345,0,20
KXBTC15M,1-2,200.0,0.05,30-70,4,0,no_only,fair_value,,,,20,85.0,40.7059,-41.3333,568.0,0.818461,2,1.4345,0,20
KXBTC15M,1-2,200.0,0.05,30-70,8,0,no_only,fair_value,,,,20,85.0,40.7059,-41.3333,568.0,0.818461,2,1.4345,0,20
KXBTC15M,1-2,200.0,0.08,30-70,4,0,no_only,fair_value,,,,20,85.0,40.7059,-41.3333,568.0,0.818461,2,1.4345,0,20
KXBTC15M,1-2,200.0,0.08,30-70,8,0,no_only,fair_value,,,,20,85.0,40.7059,-41.3333,568.0,0.818461,2,1.4345,0,20
KXBTC15M,1-2,300.0,0.05,30-70,4,0,no_only,fair_value,,,,20,85.0,40.7059,-41.3333,568.0,0.818461,2,1.4345,0,20
KXBTC15M,1-2,300.0,0.05,30-70,8,0,no_only,fair_value,,,,20,85.0,40.7059,-41.3333,568.0,0.818461,2,1.4345,0,20
KXBTC15M,1-2,300.0,0.08,30-70,4,0,no_only,fair_value,,,,20,85.0,40.7059,-41.3333,568.0,0.818461,2,1.4345,0,20
KXBTC15M,1-2,300.0,0.08,30-70,8,0,no_only,fair_value,,,,20,85.0,40.7059,-41.3333,568.0,0.818461,2,1.4345,0,20
KXBTC15M,1-2,100.0,0.02,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,12,83.33,35.4,-39.0,276.0,0.763632,1,0.5704,0,12
KXBTC15M,1-2,100.0,0.02,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,12,83.33,35.4,-39.0,276.0,0.763632,1,0.5704,0,12
KXBTC15M,1-2,100.0,0.05,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,12,83.33,35.4,-39.0,276.0,0.763632,1,0.5648,0,12
KXBTC15M,1-2,100.0,0.05,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,12,83.33,35.4,-39.0,276.0,0.763632,1,0.5648,0,12
KXBTC15M,1-2,100.0,0.08,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,12,83.33,35.4,-39.0,276.0,0.763632,1,0.5648,0,12
KXBTC15M,1-2,100.0,0.08,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,12,83.33,35.4,-39.0,276.0,0.763632,1,0.5648,0,12
KXBTC15M,1-2,200.0,0.02,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,12,83.33,35.4,-39.0,276.0,0.763632,1,0.5704,0,12
KXBTC15M,1-2,200.0,0.02,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,12,83.33,35.4,-39.0,276.0,0.763632,1,0.5704,0,12
KXBTC15M,1-2,200.0,0.05,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,12,83.33,35.4,-39.0,276.0,0.763632,1,0.5648,0,12
KXBTC15M,1-2,200.0,0.05,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,12,83.33,35.4,-39.0,276.0,0.763632,1,0.5648,0,12
KXBTC15M,1-2,200.0,0.08,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,12,83.33,35.4,-39.0,276.0,0.763632,1,0.5648,0,12
KXBTC15M,1-2,200.0,0.08,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,12,83.33,35.4,-39.0,276.0,0.763632,1,0.5648,0,12
