market_ticker,observed_at,duplicate_count
KXBTC15M-26APR011700-00,2026-04-01T20:48:45+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:48:53+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:49:33+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:49:55+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:51:03+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:51:12+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:51:49+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:53:10+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:53:13+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:53:20+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:53:24+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:53:26+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:53:40+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:55:38+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:56:04+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:56:29+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:57:37+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:58:17+00:00,2
KXBTC15M-26APR011700-00,2026-04-01T20:59:59+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:01:11+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:01:13+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:01:29+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:01:56+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:02:24+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:02:28+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:02:32+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:02:40+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:02:44+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:03:06+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:03:10+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:03:25+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:04:09+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:04:14+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:05:06+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:05:23+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:05:42+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:06:15+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:07:06+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:08:36+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:08:50+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:08:52+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:09:24+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:09:43+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:09:47+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:09:53+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:10:06+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:10:24+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:10:27+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:10:41+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:10:57+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:11:04+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:11:13+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:11:20+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:11:23+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:11:25+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:11:27+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:11:29+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:11:34+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:11:37+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:11:44+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:12:08+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:12:35+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:12:37+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:12:49+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:12:53+00:00,2
KXBTC15M-26APR011715-15,2026-04-01T21:12:58+00:00,2
KXBTC15M-26APR011730-30,2026-04-01T21:15:54+00:00,2
KXBTC15M-26APR011730-30,2026-04-01T21:20:56+00:00,2
KXBTC15M-26APR011730-30,2026-04-01T21:21:16+00:00,2
KXBTC15M-26APR011730-30,2026-04-01T21:22:27+00:00,2
KXBTC15M-26APR011730-30,2026-04-01T21:29:06+00:00,2
KXBTC15M-26APR011745-45,2026-04-01T21:37:07+00:00,2
KXBTC15M-26APR011745-45,2026-04-01T21:43:16+00:00,2
KXBTC15M-26APR011745-45,2026-04-01T21:44:03+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:46:19+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:46:23+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:46:40+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:46:46+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:46:52+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:46:55+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:47:03+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:47:10+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:47:16+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:47:23+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:47:25+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:47:29+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:47:38+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:47:47+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:47:52+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:48:01+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:48:07+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:48:17+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:48:19+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:48:21+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:48:24+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:48:38+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:48:44+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:48:52+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:48:56+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:48:59+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:49:02+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:49:04+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:49:08+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:49:21+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:49:31+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:49:39+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:49:46+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:49:50+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:49:52+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:50:06+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:50:12+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:50:14+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:50:16+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:50:21+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:50:23+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:50:26+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:50:33+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:50:35+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:50:39+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:50:44+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:50:55+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:50:59+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:51:05+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:51:09+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:51:22+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:51:28+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:51:33+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:51:36+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:51:49+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:52:02+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:52:12+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:52:23+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:52:25+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:52:30+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:52:32+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:52:35+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:52:38+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:52:42+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:52:44+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:52:46+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:52:50+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:53:03+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:53:08+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:53:34+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:53:57+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:54:00+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:54:04+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:54:08+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:54:10+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:54:27+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:54:36+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:54:40+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:54:43+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:54:52+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:54:57+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:55:15+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:55:35+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:55:38+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:55:53+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:56:48+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:57:14+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:57:29+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:57:32+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:57:35+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:58:06+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:58:32+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:58:36+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:58:43+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:58:46+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:58:49+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:59:03+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:59:07+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:59:15+00:00,2
KXBTC15M-26APR011800-00,2026-04-01T21:59:18+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:02:12+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:02:52+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:04:52+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:06:20+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:06:37+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:06:43+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:07:14+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:07:32+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:07:35+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:07:49+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:08:47+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:10:26+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:11:16+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:11:20+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:11:23+00:00,2
KXBTC15M-26APR011815-15,2026-04-01T22:12:27+00:00,2
KXBTC15M-26APR011830-30,2026-04-01T22:21:56+00:00,2
KXBTC15M-26APR011830-30,2026-04-01T22:23:07+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:34:11+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:34:18+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:34:29+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:34:54+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:35:15+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:35:19+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:35:44+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:35:51+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:35:53+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:36:08+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:37:31+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:38:39+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:38:53+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:40:05+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:40:12+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:40:14+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:40:57+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:42:25+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:43:33+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:43:51+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:43:54+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:44:00+00:00,2
KXBTC15M-26APR011845-45,2026-04-01T22:44:12+00:00,2
KXBTC15M-26APR011900-00,2026-04-01T22:45:57+00:00,2
KXBTC15M-26APR011900-00,2026-04-01T22:46:11+00:00,2
KXBTC15M-26APR011900-00,2026-04-01T22:46:14+00:00,2
KXBTC15M-26APR011900-00,2026-04-01T22:46:23+00:00,2
