series,tte_window,dist_bps_max,min_edge,price_window,max_spread_cents,min_volume,side_mode,exit_mode,stop_loss_cents,take_profit_cents,time_exit_minutes_before_expiry,trade_count,win_rate,avg_win_cents,avg_loss_cents,total_pnl_cents,sharpe_like,max_consecutive_losses,avg_hold_minutes,yes_trade_count,no_trade_count
KXBTCD,30-45,200.0,0.05,40-60,4,0,no_only,take_profit,,8.0,,31,96.77,13.0,-44.0,346.0,0.960933,1,6.07,0,31
KXBTCD,30-45,200.0,0.05,40-60,8,0,no_only,take_profit,,8.0,,31,96.77,13.0,-44.0,346.0,0.960933,1,6.07,0,31
KXBTCD,30-45,350.0,0.05,40-60,4,0,no_only,take_profit,,8.0,,31,96.77,13.0,-44.0,346.0,0.960933,1,6.07,0,31
KXBTCD,30-45,350.0,0.05,40-60,8,0,no_only,take_profit,,8.0,,31,96.77,13.0,-44.0,346.0,0.960933,1,6.07,0,31
KXBTCD,30-45,500.0,0.05,40-60,4,0,no_only,take_profit,,8.0,,31,96.77,13.0,-44.0,346.0,0.960933,1,6.07,0,31
KXBTCD,30-45,500.0,0.05,40-60,8,0,no_only,take_profit,,8.0,,31,96.77,13.0,-44.0,346.0,0.960933,1,6.07,0,31
KXBTCD,30-45,200.0,0.02,40-60,4,0,no_only,take_profit,,8.0,,31,96.77,12.9667,-44.0,345.0,0.95755,1,6.0006,0,31
KXBTCD,30-45,200.0,0.02,40-60,8,0,no_only,take_profit,,8.0,,31,96.77,12.9667,-44.0,345.0,0.95755,1,6.0006,0,31
KXBTCD,30-45,350.0,0.02,40-60,4,0,no_only,take_profit,,8.0,,31,96.77,12.9667,-44.0,345.0,0.95755,1,6.0006,0,31
KXBTCD,30-45,350.0,0.02,40-60,8,0,no_only,take_profit,,8.0,,31,96.77,12.9667,-44.0,345.0,0.95755,1,6.0006,0,31
KXBTCD,30-45,500.0,0.02,40-60,4,0,no_only,take_profit,,8.0,,31,96.77,12.9667,-44.0,345.0,0.95755,1,6.0006,0,31
KXBTCD,30-45,500.0,0.02,40-60,8,0,no_only,take_profit,,8.0,,31,96.77,12.9667,-44.0,345.0,0.95755,1,6.0006,0,31
KXBTCD,30-45,200.0,0.08,40-60,4,0,no_only,take_profit,,8.0,,31,96.77,12.8667,-44.0,342.0,0.950646,1,6.0419,0,31
KXBTCD,30-45,200.0,0.08,40-60,8,0,no_only,take_profit,,8.0,,31,96.77,12.8667,-44.0,342.0,0.950646,1,6.0419,0,31
KXBTCD,30-45,350.0,0.08,40-60,4,0,no_only,take_profit,,8.0,,31,96.77,12.8667,-44.0,342.0,0.950646,1,6.0419,0,31
KXBTCD,30-45,350.0,0.08,40-60,8,0,no_only,take_profit,,8.0,,31,96.77,12.8667,-44.0,342.0,0.950646,1,6.0419,0,31
KXBTCD,30-45,500.0,0.08,40-60,4,0,no_only,take_profit,,8.0,,31,96.77,12.8667,-44.0,342.0,0.950646,1,6.0419,0,31
KXBTCD,30-45,500.0,0.08,40-60,8,0,no_only,take_profit,,8.0,,31,96.77,12.8667,-44.0,342.0,0.950646,1,6.0419,0,31
KXBTCD,20-30,200.0,0.02,40-60,4,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,13.0312,-10.5,312.0,0.640011,4,1.6833,25,17
KXBTCD,20-30,200.0,0.05,40-60,4,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,13.0312,-10.5,312.0,0.640011,4,1.6809,25,17
KXBTCD,20-30,350.0,0.02,40-60,4,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,13.0312,-10.5,312.0,0.640011,4,1.6833,25,17
KXBTCD,20-30,350.0,0.05,40-60,4,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,13.0312,-10.5,312.0,0.640011,4,1.6809,25,17
KXBTCD,20-30,500.0,0.02,40-60,4,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,13.0312,-10.5,312.0,0.640011,4,1.6833,25,17
KXBTCD,20-30,500.0,0.05,40-60,4,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,13.0312,-10.5,312.0,0.640011,4,1.6809,25,17
KXBTCD,30-45,200.0,0.05,30-70,4,0,no_only,take_profit,,8.0,,43,95.35,12.439,-52.5,405.0,0.636739,1,6.6606,0,43
KXBTCD,30-45,200.0,0.05,30-70,8,0,no_only,take_profit,,8.0,,43,95.35,12.439,-52.5,405.0,0.636739,1,6.6606,0,43
KXBTCD,30-45,350.0,0.05,30-70,4,0,no_only,take_profit,,8.0,,43,95.35,12.439,-52.5,405.0,0.636739,1,6.6606,0,43
KXBTCD,30-45,350.0,0.05,30-70,8,0,no_only,take_profit,,8.0,,43,95.35,12.439,-52.5,405.0,0.636739,1,6.6606,0,43
KXBTCD,30-45,500.0,0.05,30-70,4,0,no_only,take_profit,,8.0,,43,95.35,12.439,-52.5,405.0,0.636739,1,6.6606,0,43
KXBTCD,30-45,500.0,0.05,30-70,8,0,no_only,take_profit,,8.0,,43,95.35,12.439,-52.5,405.0,0.636739,1,6.6606,0,43
KXBTCD,20-30,200.0,0.02,40-60,8,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,12.9688,-10.5,310.0,0.636267,4,1.6841,25,17
KXBTCD,20-30,200.0,0.05,40-60,8,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,12.9688,-10.5,310.0,0.636267,4,1.6817,25,17
KXBTCD,20-30,200.0,0.08,40-60,8,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,12.9688,-10.5,310.0,0.636267,4,1.6821,25,17
KXBTCD,20-30,350.0,0.02,40-60,8,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,12.9688,-10.5,310.0,0.636267,4,1.6841,25,17
KXBTCD,20-30,350.0,0.05,40-60,8,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,12.9688,-10.5,310.0,0.636267,4,1.6817,25,17
KXBTCD,20-30,350.0,0.08,40-60,8,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,12.9688,-10.5,310.0,0.636267,4,1.6821,25,17
KXBTCD,20-30,500.0,0.02,40-60,8,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,12.9688,-10.5,310.0,0.636267,4,1.6841,25,17
KXBTCD,20-30,500.0,0.05,40-60,8,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,12.9688,-10.5,310.0,0.636267,4,1.6817,25,17
KXBTCD,20-30,500.0,0.08,40-60,8,0,best_edge,stop_take_profit,10.0,8.0,,42,76.19,12.9688,-10.5,310.0,0.636267,4,1.6821,25,17
KXBTCD,30-45,200.0,0.08,30-70,4,0,no_only,take_profit,,8.0,,43,95.35,12.3171,-52.5,400.0,0.62993,1,6.3375,0,43
KXBTCD,30-45,200.0,0.08,30-70,8,0,no_only,take_profit,,8.0,,43,95.35,12.3171,-52.5,400.0,0.62993,1,6.3375,0,43
KXBTCD,30-45,350.0,0.08,30-70,4,0,no_only,take_profit,,8.0,,43,95.35,12.3171,-52.5,400.0,0.62993,1,6.3375,0,43
KXBTCD,30-45,350.0,0.08,30-70,8,0,no_only,take_profit,,8.0,,43,95.35,12.3171,-52.5,400.0,0.62993,1,6.3375,0,43
KXBTCD,30-45,500.0,0.08,30-70,4,0,no_only,take_profit,,8.0,,43,95.35,12.3171,-52.5,400.0,0.62993,1,6.3375,0,43
KXBTCD,30-45,500.0,0.08,30-70,8,0,no_only,take_profit,,8.0,,43,95.35,12.3171,-52.5,400.0,0.62993,1,6.3375,0,43
KXBTCD,30-45,200.0,0.02,30-70,4,0,no_only,take_profit,,8.0,,43,95.35,12.3171,-52.5,400.0,0.629796,1,6.6127,0,43
KXBTCD,30-45,200.0,0.02,30-70,8,0,no_only,take_profit,,8.0,,43,95.35,12.3171,-52.5,400.0,0.629796,1,6.6127,0,43
KXBTCD,30-45,350.0,0.02,30-70,4,0,no_only,take_profit,,8.0,,43,95.35,12.3171,-52.5,400.0,0.629796,1,6.6127,0,43
KXBTCD,30-45,350.0,0.02,30-70,8,0,no_only,take_profit,,8.0,,43,95.35,12.3171,-52.5,400.0,0.629796,1,6.6127,0,43
KXBTCD,30-45,500.0,0.02,30-70,4,0,no_only,take_profit,,8.0,,43,95.35,12.3171,-52.5,400.0,0.629796,1,6.6127,0,43
KXBTCD,30-45,500.0,0.02,30-70,8,0,no_only,take_profit,,8.0,,43,95.35,12.3171,-52.5,400.0,0.629796,1,6.6127,0,43
KXBTCD,20-30,200.0,0.05,40-60,4,0,best_edge,take_profit,,8.0,,42,95.24,12.275,-53.5,384.0,0.598995,1,3.71,25,17
KXBTCD,20-30,350.0,0.05,40-60,4,0,best_edge,take_profit,,8.0,,42,95.24,12.275,-53.5,384.0,0.598995,1,3.71,25,17
KXBTCD,20-30,500.0,0.05,40-60,4,0,best_edge,take_profit,,8.0,,42,95.24,12.275,-53.5,384.0,0.598995,1,3.71,25,17
KXBTCD,20-30,200.0,0.05,40-60,8,0,best_edge,take_profit,,8.0,,42,95.24,12.225,-53.5,382.0,0.59586,1,3.7107,25,17
KXBTCD,20-30,350.0,0.05,40-60,8,0,best_edge,take_profit,,8.0,,42,95.24,12.225,-53.5,382.0,0.59586,1,3.7107,25,17
KXBTCD,20-30,500.0,0.05,40-60,8,0,best_edge,take_profit,,8.0,,42,95.24,12.225,-53.5,382.0,0.59586,1,3.7107,25,17
KXBTCD,20-30,200.0,0.02,40-60,4,0,best_edge,take_profit,,8.0,,42,95.24,12.2,-53.5,381.0,0.594752,1,3.7127,25,17
KXBTCD,20-30,350.0,0.02,40-60,4,0,best_edge,take_profit,,8.0,,42,95.24,12.2,-53.5,381.0,0.594752,1,3.7127,25,17
KXBTCD,20-30,500.0,0.02,40-60,4,0,best_edge,take_profit,,8.0,,42,95.24,12.2,-53.5,381.0,0.594752,1,3.7127,25,17
KXBTCD,20-30,200.0,0.02,40-60,8,0,best_edge,take_profit,,8.0,,42,95.24,12.15,-53.5,379.0,0.591624,1,3.7135,25,17
KXBTCD,20-30,350.0,0.02,40-60,8,0,best_edge,take_profit,,8.0,,42,95.24,12.15,-53.5,379.0,0.591624,1,3.7135,25,17
KXBTCD,20-30,500.0,0.02,40-60,8,0,best_edge,take_profit,,8.0,,42,95.24,12.15,-53.5,379.0,0.591624,1,3.7135,25,17
KXBTCD,20-30,200.0,0.08,40-60,4,0,best_edge,take_profit,,8.0,,42,95.24,12.1,-53.5,377.0,0.588502,1,3.6881,25,17
KXBTCD,20-30,200.0,0.08,40-60,8,0,best_edge,take_profit,,8.0,,42,95.24,12.1,-53.5,377.0,0.588502,1,3.6889,25,17
KXBTCD,20-30,350.0,0.08,40-60,4,0,best_edge,take_profit,,8.0,,42,95.24,12.1,-53.5,377.0,0.588502,1,3.6881,25,17
KXBTCD,20-30,350.0,0.08,40-60,8,0,best_edge,take_profit,,8.0,,42,95.24,12.1,-53.5,377.0,0.588502,1,3.6889,25,17
KXBTCD,20-30,500.0,0.08,40-60,4,0,best_edge,take_profit,,8.0,,42,95.24,12.1,-53.5,377.0,0.588502,1,3.6881,25,17
KXBTCD,20-30,500.0,0.08,40-60,8,0,best_edge,take_profit,,8.0,,42,95.24,12.1,-53.5,377.0,0.588502,1,3.6889,25,17
KXBTCD,20-30,200.0,0.08,40-60,4,0,best_edge,stop_take_profit,10.0,8.0,,42,73.81,13.129,-10.5455,291.0,0.580616,4,1.6734,25,17
KXBTCD,20-30,350.0,0.08,40-60,4,0,best_edge,stop_take_profit,10.0,8.0,,42,73.81,13.129,-10.5455,291.0,0.580616,4,1.6734,25,17
KXBTCD,20-30,500.0,0.08,40-60,4,0,best_edge,stop_take_profit,10.0,8.0,,42,73.81,13.129,-10.5455,291.0,0.580616,4,1.6734,25,17
KXBTCD,30-45,200.0,0.05,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,43,74.42,12.2188,-12.1818,257.0,0.513249,2,3.2785,0,43
KXBTCD,30-45,200.0,0.05,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,43,74.42,12.2188,-12.1818,257.0,0.513249,2,3.2785,0,43
KXBTCD,30-45,350.0,0.05,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,43,74.42,12.2188,-12.1818,257.0,0.513249,2,3.2785,0,43
KXBTCD,30-45,350.0,0.05,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,43,74.42,12.2188,-12.1818,257.0,0.513249,2,3.2785,0,43
KXBTCD,30-45,500.0,0.05,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,43,74.42,12.2188,-12.1818,257.0,0.513249,2,3.2785,0,43
KXBTCD,30-45,500.0,0.05,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,43,74.42,12.2188,-12.1818,257.0,0.513249,2,3.2785,0,43
KXBTCD,30-45,200.0,0.02,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,43,74.42,12.0625,-12.1818,252.0,0.505953,2,3.2306,0,43
KXBTCD,30-45,200.0,0.02,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,43,74.42,12.0625,-12.1818,252.0,0.505953,2,3.2306,0,43
KXBTCD,30-45,350.0,0.02,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,43,74.42,12.0625,-12.1818,252.0,0.505953,2,3.2306,0,43
KXBTCD,30-45,350.0,0.02,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,43,74.42,12.0625,-12.1818,252.0,0.505953,2,3.2306,0,43
KXBTCD,30-45,500.0,0.02,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,43,74.42,12.0625,-12.1818,252.0,0.505953,2,3.2306,0,43
KXBTCD,30-45,500.0,0.02,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,43,74.42,12.0625,-12.1818,252.0,0.505953,2,3.2306,0,43
KXBTCD,30-45,200.0,0.05,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.7826,-13.0,190.0,0.492579,2,3.751,0,31
KXBTCD,30-45,200.0,0.05,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.7826,-13.0,190.0,0.492579,2,3.751,0,31
KXBTCD,30-45,350.0,0.05,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.7826,-13.0,190.0,0.492579,2,3.751,0,31
KXBTCD,30-45,350.0,0.05,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.7826,-13.0,190.0,0.492579,2,3.751,0,31
KXBTCD,30-45,500.0,0.05,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.7826,-13.0,190.0,0.492579,2,3.751,0,31
KXBTCD,30-45,500.0,0.05,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.7826,-13.0,190.0,0.492579,2,3.751,0,31
KXBTCD,30-45,200.0,0.02,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.7391,-13.0,189.0,0.49023,2,3.6816,0,31
KXBTCD,30-45,200.0,0.02,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.7391,-13.0,189.0,0.49023,2,3.6816,0,31
KXBTCD,30-45,350.0,0.02,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.7391,-13.0,189.0,0.49023,2,3.6816,0,31
KXBTCD,30-45,350.0,0.02,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.7391,-13.0,189.0,0.49023,2,3.6816,0,31
KXBTCD,30-45,500.0,0.02,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.7391,-13.0,189.0,0.49023,2,3.6816,0,31
KXBTCD,30-45,500.0,0.02,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.7391,-13.0,189.0,0.49023,2,3.6816,0,31
KXBTCD,30-45,200.0,0.08,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.6957,-13.25,186.0,0.477822,2,3.7229,0,31
KXBTCD,30-45,200.0,0.08,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.6957,-13.25,186.0,0.477822,2,3.7229,0,31
KXBTCD,30-45,350.0,0.08,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.6957,-13.25,186.0,0.477822,2,3.7229,0,31
KXBTCD,30-45,350.0,0.08,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.6957,-13.25,186.0,0.477822,2,3.7229,0,31
KXBTCD,30-45,500.0,0.08,40-60,4,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.6957,-13.25,186.0,0.477822,2,3.7229,0,31
KXBTCD,30-45,500.0,0.08,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,31,74.19,12.6957,-13.25,186.0,0.477822,2,3.7229,0,31
KXBTCD,20-30,200.0,0.08,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,33,72.73,14.0417,-14.1111,210.0,0.453089,2,1.9604,0,33
KXBTCD,20-30,350.0,0.08,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,33,72.73,14.0417,-14.1111,210.0,0.453089,2,1.9604,0,33
KXBTCD,20-30,500.0,0.08,40-60,8,0,no_only,stop_take_profit,10.0,8.0,,33,72.73,14.0417,-14.1111,210.0,0.453089,2,1.9604,0,33
KXBTCD,10-20,200.0,0.05,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,101,74.26,13.44,-15.3846,608.0,0.447388,4,1.452,0,101
KXBTCD,10-20,200.0,0.08,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,101,74.26,13.44,-15.3846,608.0,0.447388,4,1.4417,0,101
KXBTCD,10-20,350.0,0.05,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,101,74.26,13.44,-15.3846,608.0,0.447388,4,1.452,0,101
KXBTCD,10-20,350.0,0.08,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,101,74.26,13.44,-15.3846,608.0,0.447388,4,1.4417,0,101
KXBTCD,10-20,500.0,0.05,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,101,74.26,13.44,-15.3846,608.0,0.447388,4,1.452,0,101
KXBTCD,10-20,500.0,0.08,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,101,74.26,13.44,-15.3846,608.0,0.447388,4,1.4417,0,101
KXBTCD,10-20,200.0,0.05,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,101,73.27,13.473,-15.0,592.0,0.437266,4,1.4519,0,101
KXBTCD,10-20,200.0,0.08,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,101,73.27,13.473,-15.0,592.0,0.437266,4,1.4415,0,101
KXBTCD,10-20,350.0,0.05,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,101,73.27,13.473,-15.0,592.0,0.437266,4,1.4519,0,101
KXBTCD,10-20,350.0,0.08,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,101,73.27,13.473,-15.0,592.0,0.437266,4,1.4415,0,101
KXBTCD,10-20,500.0,0.05,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,101,73.27,13.473,-15.0,592.0,0.437266,4,1.4519,0,101
KXBTCD,10-20,500.0,0.08,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,101,73.27,13.473,-15.0,592.0,0.437266,4,1.4415,0,101
KXBTCD,5-10,200.0,0.08,40-60,4,0,best_edge,fair_value,,,,74,90.54,19.8955,-57.8571,928.0,0.429712,2,4.3742,43,31
KXBTCD,5-10,350.0,0.08,40-60,4,0,best_edge,fair_value,,,,74,90.54,19.8955,-57.8571,928.0,0.429712,2,4.3742,43,31
KXBTCD,5-10,500.0,0.08,40-60,4,0,best_edge,fair_value,,,,74,90.54,19.8955,-57.8571,928.0,0.429712,2,4.3742,43,31
KXBTCD,10-20,200.0,0.02,40-60,4,0,best_edge,fair_value,,,,98,89.8,19.9545,-56.1,1195.0,0.427119,2,9.1151,57,41
KXBTCD,10-20,350.0,0.02,40-60,4,0,best_edge,fair_value,,,,98,89.8,19.9545,-56.1,1195.0,0.427119,2,9.1151,57,41
KXBTCD,10-20,500.0,0.02,40-60,4,0,best_edge,fair_value,,,,98,89.8,19.9545,-56.1,1195.0,0.427119,2,9.1151,57,41
KXBTCD,5-10,200.0,0.05,40-60,4,0,best_edge,fair_value,,,,75,90.67,19.5147,-57.8571,922.0,0.42347,2,4.3634,44,31
KXBTCD,5-10,350.0,0.05,40-60,4,0,best_edge,fair_value,,,,75,90.67,19.5147,-57.8571,922.0,0.42347,2,4.3634,44,31
KXBTCD,5-10,500.0,0.05,40-60,4,0,best_edge,fair_value,,,,75,90.67,19.5147,-57.8571,922.0,0.42347,2,4.3634,44,31
KXBTCD,5-10,200.0,0.08,40-60,8,0,best_edge,fair_value,,,,74,90.54,19.597,-57.8571,908.0,0.421697,2,4.3714,43,31
KXBTCD,5-10,350.0,0.08,40-60,8,0,best_edge,fair_value,,,,74,90.54,19.597,-57.8571,908.0,0.421697,2,4.3714,43,31
KXBTCD,5-10,500.0,0.08,40-60,8,0,best_edge,fair_value,,,,74,90.54,19.597,-57.8571,908.0,0.421697,2,4.3714,43,31
KXBTCD,5-10,200.0,0.05,40-60,8,0,best_edge,fair_value,,,,75,90.67,19.2941,-57.8571,907.0,0.419643,2,4.3738,44,31
KXBTCD,5-10,350.0,0.05,40-60,8,0,best_edge,fair_value,,,,75,90.67,19.2941,-57.8571,907.0,0.419643,2,4.3738,44,31
KXBTCD,5-10,500.0,0.05,40-60,8,0,best_edge,fair_value,,,,75,90.67,19.2941,-57.8571,907.0,0.419643,2,4.3738,44,31
KXBTCD,30-45,200.0,0.08,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,43,72.09,12.2903,-13.1667,223.0,0.417635,2,3.3414,0,43
KXBTCD,30-45,200.0,0.08,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,43,72.09,12.2903,-13.1667,223.0,0.417635,2,3.3414,0,43
KXBTCD,30-45,350.0,0.08,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,43,72.09,12.2903,-13.1667,223.0,0.417635,2,3.3414,0,43
KXBTCD,30-45,350.0,0.08,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,43,72.09,12.2903,-13.1667,223.0,0.417635,2,3.3414,0,43
KXBTCD,30-45,500.0,0.08,30-70,4,0,no_only,stop_take_profit,10.0,8.0,,43,72.09,12.2903,-13.1667,223.0,0.417635,2,3.3414,0,43
KXBTCD,30-45,500.0,0.08,30-70,8,0,no_only,stop_take_profit,10.0,8.0,,43,72.09,12.2903,-13.1667,223.0,0.417635,2,3.3414,0,43
KXBTCD,5-10,200.0,0.02,40-60,4,0,best_edge,fair_value,,,,76,90.79,18.7681,-57.8571,890.0,0.408964,2,4.2614,45,31
KXBTCD,5-10,350.0,0.02,40-60,4,0,best_edge,fair_value,,,,76,90.79,18.7681,-57.8571,890.0,0.408964,2,4.2614,45,31
KXBTCD,5-10,500.0,0.02,40-60,4,0,best_edge,fair_value,,,,76,90.79,18.7681,-57.8571,890.0,0.408964,2,4.2614,45,31
KXBTCD,5-10,200.0,0.02,40-60,8,0,best_edge,fair_value,,,,76,90.79,18.5507,-57.8571,875.0,0.405127,2,4.2718,45,31
KXBTCD,5-10,350.0,0.02,40-60,8,0,best_edge,fair_value,,,,76,90.79,18.5507,-57.8571,875.0,0.405127,2,4.2718,45,31
KXBTCD,5-10,500.0,0.02,40-60,8,0,best_edge,fair_value,,,,76,90.79,18.5507,-57.8571,875.0,0.405127,2,4.2718,45,31
KXBTCD,30-45,200.0,0.08,30-70,4,0,no_only,fair_value,,,,43,86.05,24.8919,-57.5,576.0,0.403995,3,28.394,0,43
KXBTCD,30-45,200.0,0.08,30-70,8,0,no_only,fair_value,,,,43,86.05,24.8919,-57.5,576.0,0.403995,3,28.394,0,43
KXBTCD,30-45,350.0,0.08,30-70,4,0,no_only,fair_value,,,,43,86.05,24.8919,-57.5,576.0,0.403995,3,28.394,0,43
KXBTCD,30-45,350.0,0.08,30-70,8,0,no_only,fair_value,,,,43,86.05,24.8919,-57.5,576.0,0.403995,3,28.394,0,43
KXBTCD,30-45,500.0,0.08,30-70,4,0,no_only,fair_value,,,,43,86.05,24.8919,-57.5,576.0,0.403995,3,28.394,0,43
KXBTCD,30-45,500.0,0.08,30-70,8,0,no_only,fair_value,,,,43,86.05,24.8919,-57.5,576.0,0.403995,3,28.394,0,43
KXBTCD,10-20,200.0,0.02,40-60,8,0,best_edge,fair_value,,,,99,88.89,20.3182,-56.0,1172.0,0.403948,2,9.302,57,42
