ticker,event_ticker,series,open_time,close_time,settlement_ts,floor_strike,cap_strike,expiration_value,result,volume,open_interest,last_price_dollars
KXBTC15M-26APR041230-30,KXBTC15M-26APR041230,KXBTC15M,2026-04-04T16:15:00+00:00,2026-04-04T16:30:00+00:00,2026-04-04T16:30:13.48666,67338.34,,67454.99,yes,265608.39,89117.11,0.9990
KXBTC15M-26APR041215-15,KXBTC15M-26APR041215,KXBTC15M,2026-04-04T16:00:00+00:00,2026-04-04T16:15:00+00:00,2026-04-04T16:15:13.58593,67380.17,,67338.34,no,200104.06,79827.33,0.0010
KXBTC15M-26APR041200-00,KXBTC15M-26APR041200,KXBTC15M,2026-04-04T15:45:00+00:00,2026-04-04T16:00:00+00:00,2026-04-04T16:00:13.63928,67340.27,,67380.17,yes,264291.99,54842.32,0.9980
KXBTC15M-26APR041145-45,KXBTC15M-26APR041145,KXBTC15M,2026-04-04T15:30:00+00:00,2026-04-04T15:45:00+00:00,2026-04-04T15:45:13.55052,67339.17,,67340.27,yes,273216.27,50021.08,0.9900
KXBTC15M-26APR041130-30,KXBTC15M-26APR041130,KXBTC15M,2026-04-04T15:15:00+00:00,2026-04-04T15:30:00+00:00,2026-04-04T15:30:13.43736,67368.61,,67339.17,no,264796.92,61813.07,0.0010
KXBTC15M-26APR041115-15,KXBTC15M-26APR041115,KXBTC15M,2026-04-04T15:00:00+00:00,2026-04-04T15:15:00+00:00,2026-04-04T15:15:13.51145,67193.16,,67368.61,yes,178176.42,68191.23,0.9990
KXBTC15M-26APR041100-00,KXBTC15M-26APR041100,KXBTC15M,2026-04-04T14:45:00+00:00,2026-04-04T15:00:00+00:00,2026-04-04T15:00:13.47777,67100.009999,,67193.16,yes,135941.64,74316.54,0.9990
KXBTC15M-26APR041045-45,KXBTC15M-26APR041045,KXBTC15M,2026-04-04T14:30:00+00:00,2026-04-04T14:45:00+00:00,2026-04-04T14:45:13.48075,67200.16,,67100.01,no,129412.64,77790.49,0.0010
KXBTC15M-26APR041030-30,KXBTC15M-26APR041030,KXBTC15M,2026-04-04T14:15:00+00:00,2026-04-04T14:30:00+00:00,2026-04-04T14:30:13.53304,67198.179999,,67200.16,yes,233041.06,49442.73,0.9910
KXBTC15M-26APR041015-15,KXBTC15M-26APR041015,KXBTC15M,2026-04-04T14:00:00+00:00,2026-04-04T14:15:00+00:00,2026-04-04T14:15:13.47959,67206.52,,67198.18,no,259179.84,46652.53,0.0010
KXBTC15M-26APR041000-00,KXBTC15M-26APR041000,KXBTC15M,2026-04-04T13:45:00+00:00,2026-04-04T14:00:00+00:00,2026-04-04T14:00:13.47879,67230.8,,67206.52,no,173613.52,46543.74,0.0010
KXBTC15M-26APR040945-45,KXBTC15M-26APR040945,KXBTC15M,2026-04-04T13:30:00+00:00,2026-04-04T13:45:00+00:00,2026-04-04T13:45:13.48298,67102.24,,67230.80,yes,166911.46,92718.31,0.9910
KXBTC15M-26APR040930-30,KXBTC15M-26APR040930,KXBTC15M,2026-04-04T13:15:00+00:00,2026-04-04T13:30:00+00:00,2026-04-04T13:30:13.47781,67101.789999,,67102.24,yes,199855.67,37782.57,0.9830
KXBTC15M-26APR040915-15,KXBTC15M-26APR040915,KXBTC15M,2026-04-04T13:00:00+00:00,2026-04-04T13:15:00+00:00,2026-04-04T13:15:13.53087,67097.429999,,67101.79,yes,197194.99,39777.00,0.9990
KXBTC15M-26APR040900-00,KXBTC15M-26APR040900,KXBTC15M,2026-04-04T12:45:00+00:00,2026-04-04T13:00:00+00:00,2026-04-04T13:00:13.47948,67061.759999,,67097.43,yes,105236.34,54973.18,0.9970
KXBTC15M-26APR040845-45,KXBTC15M-26APR040845,KXBTC15M,2026-04-04T12:30:00+00:00,2026-04-04T12:45:00+00:00,2026-04-04T12:45:13.43119,67110.009999,,67061.76,no,133004.97,43445.90,0.0010
KXBTC15M-26APR040830-30,KXBTC15M-26APR040830,KXBTC15M,2026-04-04T12:15:00+00:00,2026-04-04T12:30:00+00:00,2026-04-04T12:30:13.52738,67118.16,,67110.01,no,173982.25,44382.98,0.0010
KXBTC15M-26APR040815-15,KXBTC15M-26APR040815,KXBTC15M,2026-04-04T12:00:00+00:00,2026-04-04T12:15:00+00:00,2026-04-04T12:15:13.43064,67141.229999,,67118.16,no,190024.88,69351.83,0.0020
KXBTC15M-26APR040800-00,KXBTC15M-26APR040800,KXBTC15M,2026-04-04T11:45:00+00:00,2026-04-04T12:00:00+00:00,2026-04-04T12:00:13.48030,67140.6,,67141.23,yes,151158.90,41712.89,0.9400
KXBTC15M-26APR040745-45,KXBTC15M-26APR040745,KXBTC15M,2026-04-04T11:30:00+00:00,2026-04-04T11:45:00+00:00,2026-04-04T11:45:13.48052,67122.119999,,67140.60,yes,140849.09,35338.88,0.9990
KXBTC15M-26APR040730-30,KXBTC15M-26APR040730,KXBTC15M,2026-04-04T11:15:00+00:00,2026-04-04T11:30:00+00:00,2026-04-04T11:30:13.42298,67166.179999,,67122.12,no,99036.68,45093.19,0.0010
KXBTC15M-26APR040715-15,KXBTC15M-26APR040715,KXBTC15M,2026-04-04T11:00:00+00:00,2026-04-04T11:15:00+00:00,2026-04-04T11:15:13.43005,67162.369999,,67166.18,yes,236459.15,35930.17,0.9700
